Ernst Hornung 	VN NN 
Helga Stöver 	VN NN 
Enno Stöver 	VN NN 
Gothart Stier 	VN NN 
Fritz Bultmann 	VN NN 
Martin Janz 	VN NN 
Prof . Martin Janz 	TIT PU VN NN 
Julia Thelen 	VN NN 
Richterin Julia Thelen 	TIT VN NN 
Jan Christoph Amelung 	VN VN NN 
Jana Veh 	VN NN 
Udo Krapf 	VN NN 
Maximilian Herget 	VN NN 
Maximilian Herget 	VN NN 
Maximilian Herget 	VN NN 
Bernd Lehmann 	VN NN 
Sebastian Beyer 	VN NN 
Karsten Frommann 	VN NN 
Stephanie Frommann 	VN NN 
Kerstin Beyer 	VN NN 
Inga Lund 	VN NN 
Corinna Neumann 	VN NN 
Ina Heitmann 	VN NN 
Anna Haun 	VN NN 
Susann Thiele 	VN NN 
Jenny Hacker 	VN NN 
Ralf Zumdick 	VN NN 
Hans-Hinrich Duncker 	VN NN 
Co-Trainer Hans-Hinrich Duncker 	TIT VN NN 
Anke Fries 	VN NN 
Ligabüro-Mitarbeiterin Anke Fries 	TIT VN NN 
Horst Lüders 	VN NN 
Manager Horst Lüders 	TIT VN NN 
Andreas Roloff 	VN NN 
Trainer Andreas Roloff 	TIT VN NN 
Arne Birkner 	VN NN 
Trainer Arne Birkner 	TIT VN NN 
Otto Geise 	VN NN 
Felix Morawski 	VN NN 
Otto Geise 	VN NN 
Vanessa Lewin 	VN NN 
Mona Pfaffenbach 	VN NN 
Gunda Wiebusch 	VN NN 
Gunda Wiebusch 	VN NN 
Gunda Wiebusch 	VN NN 
Jürgen Schulz 	VN NN 
Kristiane Helmke 	VN NN 
Claudia Lipski 	VN NN 
Jana Scharnberg 	VN NN 
Thomas Bosse 	VN NN 
Baudezernent Thomas Bosse 	TIT VN NN 
Michaela Merten 	VN NN 
Michaela Merten 	VN NN 
Michaela Mertens 	VN NN 
Thomas Bosse 	VN NN 
Baudezernent Thomas Bosse 	TIT VN NN 
Tatjana Kasper 	VN NN 
Christiane Petersen 	VN NN 
Ärztin Christiane Petersen 	TIT VN NN 
Irene Brockmann 	VN NN 
Tatjana Kasper 	VN NN 
Tatjana Kasper 	VN NN 
Gero Storjohann 	VN NN 
CDU-Bundestagsabgeordnete Gero Storjohann 	TIT VN NN 
Sigrid Krüger 	VN NN 
Gero Storjohann 	VN NN 
Uwe Voss 	VN NN 
Kreisgeschäftsführer Uwe Voss 	TIT VN NN 
Jens-Peter Timm 	VN NN 
Wolfgang Selig 	VN NN 
Karin Stein 	VN NN 
Hanns Eisler 	VN NN 
Werner Richard Heymann 	VN VN NN 
Friedrich Hollaender 	VN NN 
Bernhard Tuchel 	VN NN 
Günter Meier 	VN NN 
Eva Stoltenberg 	VN NN 
Pastor Tegtmeyer 	VN NN 
Tim Böge 	VN NN 
Mirko Heyer 	VN NN 
Susanne Krehl 	VN NN 
Jan Schmidt 	VN NN 
Kathy Brüning 	VN NN 
Victoria Lauenroth 	VN NN 
Leslie Harrington 	VN NN 
Renate Wölk 	VN NN 
Renate Wölk 	VN NN 
Leslie Harrington 	VN NN 
Janina Gies 	VN NN 
Michelle Klebe 	VN NN 
Janina Gies 	VN NN 
Marco Prey 	VN NN 
Regionalliga Nord 	TIT NN 
Marco Prey 	VN NN 
Regionalliga Nord 	TIT NN 
Sarah Gampe 	VN NN 
Juliane Pohl 	VN NN 
Inga Fuhrmann 	VN NN 
Kathrin Weiler 	VN NN 
Melanie Koppel 	VN NN 
Manuela Zwiener 	VN NN 
Jens Scheunemann 	VN NN 
Trainer Jens Scheunemann 	TIT VN NN 
Nadine Wrage 	VN NN 
Jens Scheunemann 	VN NN 
Thomas Kahlert 	VN NN 
Ralf Bohnsack 	VN NN 
Hartmut Porth 	VN NN 
Rüdiger Schäfer 	VN NN 
Vereinschef Rüdiger Schäfer 	TIT VN NN 
Tanja Rathmann 	VN NN 
Jugendwartin Tanja Rathmann 	TIT VN NN 
Tanja Rathmann 	VN NN 
Andreas Schulz 	VN NN 
Uwe Schmidt 	VN NN 
Matthias Wermke 	VN NN 
Hendrik Peters 	VN NN 
FFC-Trainer Hendrik Peters 	TIT VN NN 
Simon Speth 	VN NN 
Matthias Krüger 	VN NN 
Olaf Dettmering 	VN NN 
Stefan Pingel 	VN NN 
Christian Möck 	VN NN 
Stefan Pingel 	VN NN 
Jan Hasenkamp 	VN NN 
Mittelfeldspieler Jan Hasenkamp 	TIT VN NN 
Tobias Schadendorf 	VN NN 
Thimo Brinkmann 	VN NN 
Maximilian Löw 	VN NN 
Simon Winter 	VN NN 
Christine Köhn 	VN NN 
Jana Liesegang 	VN NN 
Nadine Synold 	VN NN 
Krystina Ehm 	VN NN 
Kristin Borchers 	VN NN 
Isabelle Peltier 	VN NN 
Maximilian Löw 	VN NN 
Lennart Jakobs 	VN NN 
Felix Thomsen 	VN NN 
Jan Reimann 	VN NN 
Hendrik Eisenhut 	VN NN 
Hendrik Böttcher 	VN NN 
Oliver Lenz 	VN NN 
Patrick Lamm 	VN NN 
Birger Scholz 	VN NN 
Christoph Schütz 	VN NN 
Malte Pohlmann 	VN NN 
Jörg Brück 	VN NN 
Achim Nawrath 	VN NN 
Christian Fey 	VN NN 
Andreas Lund 	VN NN 
Malte Riehl 	VN NN 
Jörg Kunz 	VN NN 
Dietmar Kühl 	VN NN 
Bruno Egge 	VN NN 
Bürgermeister Bruno Egge 	TIT VN NN 
Ines Strehlau 	VN NN 
Grünen-Fraktionschefin Ines Strehlau 	TIT VN NN 
Helmuth Jahnke 	VN NN 
SPD-Fraktionschef Helmuth Jahnke 	TIT VN NN 
Wolfgang Grimme 	VN NN 
Landrat Wolfgang Grimme 	TIT VN NN 
Stadtwerkedirektor Henning 	TIT NN 
Arno Nicolaisen 	VN NN 
Bäderleiter Arno Nicolaisen 	TIT VN NN 
Hans-Helmut Birke 	VN NN 
Fraktionschef Hans-Helmut Birke 	TIT VN NN 
Karin Reschke 	VN NN 
Elternvertreterin Karin Reschke 	TIT VN NN 
Karin Reschke 	VN NN 
Karin Reschke 	VN NN 
Anke Schmelzer 	VN NN 
Niels Schmidt 	VN NN 
Bürgermeister Niels Schmidt 	TIT VN NN 
Fritz Tietgen 	VN NN 
Johannes Tietgen 	VN NN 
Johannes Tietgen 	VN NN 
Firmenchef Johannes Tietgen 	TIT VN NN 
Heide Simonis 	VN NN 
Ministerpräsidentin Heide Simonis 	TIT VN NN 
Andrea Faltin 	VN NN 
Simone Eckert 	VN NN 
Johann Sebastian Bach 	VN VN NN 
Arne Weber 	VN NN 
Bauunternehmer Arne Weber 	TIT VN NN 
Dr . Schaal 	TIT PU NN 
Dirk Römmer 	VN NN 
Giovanni Gabrieli 	VN NN 
Casa Don Bosco 	VN VN NN 
Markus Schwarz 	VN NN 
Tobias Kordt 	VN NN 
Quarterback Tobias Kordt 	TIT VN NN 
Jan Hellwig 	VN NN 
Karsten Schümann 	VN NN 
Ingo Jopp 	VN NN 
Union-Trainer Ingo Jopp 	TIT VN NN 
Benjamin Köhnke 	VN NN 
Serdar Dur 	VN NN 
Gyula Wetzel 	VN NN 
Helge Voth 	VN NN 
Christian Hink 	VN NN 
Patrick Steinmüller 	VN NN 
Torben Lohse 	VN NN 
Marco Kolberg 	VN NN 
Lars Henkel 	VN NN 
Thomas Rudloff 	VN NN 
Marco Kolberg 	VN NN 
Marc Draeger 	VN NN 
Torben Berger 	VN NN 
Clemens Jansen 	VN NN 
Christian Moormann 	VN NN 
Jan Diercks 	VN NN 
Torwart Jan Diercks 	TIT VN NN 
Christian Carstens 	VN NN 
Mustafa Yilmaz 	VN NN 
Christina Jansen 	VN NN 
